name,Address 1,Address 2,"City, State Zip",googleMapsUrl,state,postal,source,source_date,address,lat,lng,county,FIPS,FIPS County,FIPS State,County,State,Postal,CensusDivision
FIRST COLONY CORP,PO BOX 10,82 NEWPORT RD,"NEW LONDON, NH 03257",http://maps.google.com/maps?q=FIRST%20COLONY%20CORP%2CPO%20BOX%2010%2C+NEW%20LONDON%2C+NH+03257,NH,3257,DEA,Oct2018,"PO BOX 10, 82 NEWPORT RD, NEW LONDON, NH 03257",43.4217672,-71.9968423,Merrimack,33013,13,33,Merrimack,New Hampshire,NH,New England
FISHKILL PHARMACY LLC,1004 MAIN ST.,BUILDING 554,"FISHKILL, NY 12524",http://maps.google.com/maps?q=FISHKILL%20PHARMACY%20LLC%2C1004%20MAIN%20ST.%2C+FISHKILL%2C+NY+12524,NY,12524,DEA,Oct2018,"1004 MAIN ST., BUILDING 554, FISHKILL, NY 12524",41.5319855,-73.9076939,Dutchess,36027,27,36,Dutchess,New York,NY,Middle Atlantic
FLATBUSH RX CORP,1855 FLATBUSH AVE,,"BROOKLYN, NY 11210",http://maps.google.com/maps?q=FLATBUSH%20RX%20CORP%2C1855%20FLATBUSH%20AVE%2C+BROOKLYN%2C+NY+11210,NY,11210,DEA,Oct2018,"1855 FLATBUSH AVE, BROOKLYN, NY 11210",40.6247267,-73.9386941544,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
FONTAK INC,2000 NORTH VILLAGE AVENUE,SUITE 107,"ROCKVILLE CENTRE, NY 11570",http://maps.google.com/maps?q=FONTAK%20INC%2C2000%20NORTH%20VILLAGE%20AVENUE%2C+ROCKVILLE%20CENTRE%2C+NY+11570,NY,11570,DEA,Oct2018,"2000 NORTH VILLAGE AVENUE, SUITE 107, ROCKVILLE CENTRE, NY 11570",40.6724046,-73.6564903,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
FORTEEN STAR ENTERPRISES INC,346 CENTRAL AVE,,"ALBANY, NY 12206",http://maps.google.com/maps?q=FORTEEN%20STAR%20ENTERPRISES%20INC%2C346%20CENTRAL%20AVE%2C+ALBANY%2C+NY+12206,NY,12206,DEA,Oct2018,"346 CENTRAL AVE, ALBANY, NY 12206",42.6658991,-73.7742089652,Albany,36001,1,36,Albany,New York,NY,Middle Atlantic
FOUR CORNERS PHARMACY LLC,360 DELAWARE AVENUE,,"DELMAR, NY 12054",http://maps.google.com/maps?q=FOUR%20CORNERS%20PHARMACY%20LLC%2C360%20DELAWARE%20AVENUE%2C+DELMAR%2C+NY+12054,NY,12054,DEA,Oct2018,"360 DELAWARE AVENUE, DELMAR, NY 12054",42.622354,-73.831404,Albany,36001,1,36,Albany,New York,NY,Middle Atlantic
FRANCO PHARMACY CORP,77-01 37TH AVE,,"JACKSON HEIGHTS, NY 11372",http://maps.google.com/maps?q=FRANCO%20PHARMACY%20CORP%2C77-01%2037TH%20AVE%2C+JACKSON%20HEIGHTS%2C+NY+11372,NY,11372,DEA,Oct2018,"77-01 37TH AVE, JACKSON HEIGHTS, NY 11372",40.749264,-73.88898,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
FRANHILL PHARMACY LLC,20419 HILLSIDE AVE,,"HOLLIS, NY 11423",http://maps.google.com/maps?q=FRANHILL%20PHARMACY%20LLC%2C20419%20HILLSIDE%20AVE%2C+HOLLIS%2C+NY+11423,NY,11423,DEA,Oct2018,"20419 HILLSIDE AVE, HOLLIS, NY 11423",40.7164379,-73.7697638,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
FRANKLIN SQUARE PHARMACY INC,925 HEMPSTEAD TURNPIKE,ATTN: SUPERVISING PHARMACIST,"FRANKLIN SQUARE, NY 11010",http://maps.google.com/maps?q=FRANKLIN%20SQUARE%20PHARMACY%20INC%2C925%20HEMPSTEAD%20TURNPIKE%2C+FRANKLIN%20SQUARE%2C+NY+11010,NY,11010,DEA,Oct2018,"925 HEMPSTEAD TURNPIKE, ATTN: SUPERVISING PHARMACIST, FRANKLIN SQUARE, NY 11010",40.707306,-73.67449,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
FREDERICK H LANGE INC,2205 NOTT ST,,"SCHENECTADY, NY 12309",http://maps.google.com/maps?q=FREDERICK%20H%20LANGE%20INC%2C2205%20NOTT%20ST%2C+SCHENECTADY%2C+NY+12309,NY,12309,DEA,Oct2018,"2205 NOTT ST, SCHENECTADY, NY 12309",42.8158458163,-73.8944899592,Schenectady,36093,93,36,Schenectady,New York,NY,Middle Atlantic
FULL CARE PHARMACY INC,2913 SURF AVE,,"BROOKLYN, NY 11224",http://maps.google.com/maps?q=FULL%20CARE%20PHARMACY%20INC%2C2913%20SURF%20AVE%2C+BROOKLYN%2C+NY+11224,NY,11224,DEA,Oct2018,"2913 SURF AVE, BROOKLYN, NY 11224",40.5729346531,-73.9951668776,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
"G.S.P. LONGTERM CARE, INC",1567 CENTRAL PARK AVENUE,,"YONKERS, NY 10710",http://maps.google.com/maps?q=GSP%20LONGTERM%20CARE%20INC%2C1567%20CENTRAL%20PARK%20AVENUE%2C+YONKERS%2C+NY+10710,NY,10710,DEA,Oct2018,"1567 CENTRAL PARK AVENUE, YONKERS, NY 10710",40.909583,-73.877712,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
GEM DRUG CORPORATION,300 MORTON AVE,,"ALBANY, NY 12209",http://maps.google.com/maps?q=GEM%20DRUG%20CORPORATION%2C300%20MORTON%20AVE%2C+ALBANY%2C+NY+12209,NY,12209,DEA,Oct2018,"300 MORTON AVE, ALBANY, NY 12209",42.6451520988,-73.7705122685,Albany,36001,1,36,Albany,New York,NY,Middle Atlantic
GENERAL HOSP CORPORATION,55 FRUIT STREET,,"BOSTON, MA 02114",http://maps.google.com/maps?q=GENERAL%20HOSP%20CORPORATION%2C55%20FRUIT%20STREET%2C+BOSTON%2C+MA+02114,MA,2114,DEA,Oct2018,"55 FRUIT STREET, BOSTON, MA 02114",42.36291795,-71.0687374226,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
GENERAL HOSPITAL CORPORATION,OUTPATIENT PHARMACY,55 FRUIT STREET,"BOSTON, MA 02114",http://maps.google.com/maps?q=GENERAL%20HOSPITAL%20CORPORATION%2COUTPATIENT%20PHARMACY%2C+BOSTON%2C+MA+02114,MA,2114,DEA,Oct2018,"OUTPATIENT PHARMACY, 55 FRUIT STREET, BOSTON, MA 02114",42.3631172,-71.0686446,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
GLEN COVE PHARM LLC,20 FOREST AVE,,"GLEN COVE, NY 11542",http://maps.google.com/maps?q=GLEN%20COVE%20PHARM%20LLC%2C20%20FOREST%20AVE%2C+GLEN%20COVE%2C+NY+11542,NY,11542,DEA,Oct2018,"20 FOREST AVE, GLEN COVE, NY 11542",40.8701852,-73.6284592,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
GRAMATAN PHARMACY CORP,120 GRAMATAN AVENUE,,"MOUNT VERNON, NY 10550",http://maps.google.com/maps?q=GRAMATAN%20PHARMACY%20CORP%2C120%20GRAMATAN%20AVENUE%2C+MOUNT%20VERNON%2C+NY+10550,NY,10550,DEA,Oct2018,"120 GRAMATAN AVENUE, MOUNT VERNON, NY 10550",40.914505,-73.83741,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
GRASSY SPRAIN PHARMACY INC,640 TUCKAHOE ROAD,,"YONKERS, NY 10710",http://maps.google.com/maps?q=GRASSY%20SPRAIN%20PHARMACY%20INC%2C640%20TUCKAHOE%20ROAD%2C+YONKERS%2C+NY+10710,NY,10710,DEA,Oct2018,"640 TUCKAHOE ROAD, YONKERS, NY 10710",40.9537683359,-73.8446789668,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
GREATER FALLS PHARMACY,78 ATKINSON ST,,"BELLOWS FALLS, VT 05101",http://maps.google.com/maps?q=GREATER%20FALLS%20PHARMACY%2C78%20ATKINSON%20ST%2C+BELLOWS%20FALLS%2C+VT+05101,VT,5101,DEA,Oct2018,"78 ATKINSON ST, BELLOWS FALLS, VT 05101",43.133934,-72.45026,Windham,50025,25,50,Windham,Vermont,VT,New England
HARPELL CHEMISTS INC,12-65 150TH STREET,,"WHITESTONE, NY 11357",http://maps.google.com/maps?q=HARPELL%20CHEMISTS%20INC%2C12-65%20150TH%20STREET%2C+WHITESTONE%2C+NY+11357,NY,11357,DEA,Oct2018,"12-65 150TH STREET, WHITESTONE, NY 11357",40.7889941,-73.8137317,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
HARVARD UNIVERSITY HEALTH SERVICES,75 MT AUBURN ST,,"CAMBRIDGE, MA 02138",http://maps.google.com/maps?q=HARVARD%20UNIVERSITY%20HEALTH%20SERVICES%2C75%20MT%20AUBURN%20ST%2C+CAMBRIDGE%2C+MA+02138,MA,2138,DEA,Oct2018,"75 MT AUBURN ST, CAMBRIDGE, MA 02138",42.3747032,-71.1305838,Middlesex,25017,17,25,Middlesex,Massachusetts,MA,New England
HEALTHALLIANCE HOSPITAL,C/O PHARMACY,105 MARY'S AVE,"KINGSTON, NY 12401",http://maps.google.com/maps?q=HEALTHALLIANCE%20HOSPITAL%2CC/O%20PHARMACY%2C+KINGSTON%2C+NY+12401,NY,12401,DEA,Oct2018,"C/O PHARMACY, 105 MARY'S AVE, KINGSTON, NY 12401",41.7336068,-74.382884,Ulster,36111,111,36,Ulster,New York,NY,Middle Atlantic
HEALTHSMART,203 MAIN ST,,"OSSINING, NY 10562",http://maps.google.com/maps?q=HEALTHSMART%2C203%20MAIN%20ST%2C+OSSINING%2C+NY+10562,NY,10562,DEA,Oct2018,"203 MAIN ST, OSSINING, NY 10562",41.161503,-73.862015,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
HOLYOKE HEALTH CENTER INC,505 FRONT ST,,"CHICOPEE, MA 01013",http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2C505%20FRONT%20ST%2C+CHICOPEE%2C+MA+01013,MA,1013,DEA,Oct2018,"505 FRONT ST, CHICOPEE, MA 01013",42.148087,-72.59758,Hampden,25013,13,25,Hampden,Massachusetts,MA,New England
"HOLYOKE HEALTH CENTER, INC.",230 MAPLE ST,PHARMACY DEPARTMENT,"HOLYOKE, MA 01040",http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2C230%20MAPLE%20ST%2C+HOLYOKE%2C+MA+01040,MA,1040,DEA,Oct2018,"230 MAPLE ST, PHARMACY DEPARTMENT, HOLYOKE, MA 01040",42.207462,-72.6085,Hampden,25013,13,25,Hampden,Massachusetts,MA,New England
HOTEL PHARMACY,20 ELLIOT ST,,"BRATTLEBORO, VT 05301",http://maps.google.com/maps?q=HOTEL%20PHARMACY%2C20%20ELLIOT%20ST%2C+BRATTLEBORO%2C+VT+05301,VT,5301,DEA,Oct2018,"20 ELLIOT ST, BRATTLEBORO, VT 05301",42.852077,-72.5585,Windham,50025,25,50,Windham,Vermont,VT,New England
I & O PHARMACY CORP,669 MANHATTAN AVE,,"BROOKLYN, NY 11222",http://maps.google.com/maps?q=I%20%20O%20PHARMACY%20CORP%2C669%20MANHATTAN%20AVE%2C+BROOKLYN%2C+NY+11222,NY,11222,DEA,Oct2018,"669 MANHATTAN AVE, BROOKLYN, NY 11222",40.7246968,-73.9514908,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
ISLA DRUG STORES INC,1994 THIRD AVE,,"NEW YORK, NY 10029",http://maps.google.com/maps?q=ISLA%20DRUG%20STORES%20INC%2C1994%20THIRD%20AVE%2C+NEW%20YORK%2C+NY+10029,NY,10029,DEA,Oct2018,"1994 THIRD AVE, NEW YORK, NY 10029",40.7939517,-73.9454497,New York,36061,61,36,New York,New York,NY,Middle Atlantic
J & D CHEMISTS INC,945 ROSEDALE RD,,"VALLEY STREAM, NY 11581",http://maps.google.com/maps?q=J%20%20D%20CHEMISTS%20INC%2C945%20ROSEDALE%20RD%2C+VALLEY%20STREAM%2C+NY+11581,NY,11581,DEA,Oct2018,"945 ROSEDALE RD, VALLEY STREAM, NY 11581",40.651643,-73.717051,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
J A K PHARMA INC,2343 ARTHUR AVENUE,,"BRONX, NY 10458",http://maps.google.com/maps?q=J%20A%20K%20PHARMA%20INC%2C2343%20ARTHUR%20AVENUE%2C+BRONX%2C+NY+10458,NY,10458,DEA,Oct2018,"2343 ARTHUR AVENUE, BRONX, NY 10458",40.854145,-73.88882,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
JACKSON HEIGHTS DRUGS INC.,BANGLADESH FARMACIA,73-21 37TH ROAD,"JACKSON HEIGHTS, NY 11372",http://maps.google.com/maps?q=JACKSON%20HEIGHTS%20DRUGS%20INC%2CBANGLADESH%20FARMACIA%2C+JACKSON%20HEIGHTS%2C+NY+11372,NY,11372,DEA,Oct2018,"BANGLADESH FARMACIA, 73-21 37TH ROAD, JACKSON HEIGHTS, NY 11372",40.7484723,-73.8924611,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
JAN PHARMA INC,311 ST. NICHOLAS AVENUE,,"RIDGEWOOD, NY 11385",http://maps.google.com/maps?q=JAN%20PHARMA%20INC%2C311%20ST.%20NICHOLAS%20AVENUE%2C+RIDGEWOOD%2C+NY+11385,NY,11385,DEA,Oct2018,"311 ST. NICHOLAS AVENUE, RIDGEWOOD, NY 11385",40.700134,-73.90912,Queens,36081,81,36,Queens,New York,NY,Middle Atlantic
JOJAN PHARMA INC,121 ST.NICHOLAS AVENUE,,"BROOKLYN, NY 11237",http://maps.google.com/maps?q=JOJAN%20PHARMA%20INC%2C121%20ST.NICHOLAS%20AVENUE%2C+BROOKLYN%2C+NY+11237,NY,11237,DEA,Oct2018,"121 ST.NICHOLAS AVENUE, BROOKLYN, NY 11237",40.705418,-73.918045,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
KCAID PHARMACY INC.,1771 BROADWAY,,"BROOKLYN, NY 11207",http://maps.google.com/maps?q=KCAID%20PHARMACY%20INC%2C1771%20BROADWAY%2C+BROOKLYN%2C+NY+11207,NY,11207,DEA,Oct2018,"1771 BROADWAY, BROOKLYN, NY 11207",40.70055,-73.9410834,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
KELLY'S PHARMACY INC.,34 HOPE PLAZA,,"WEST COXSACKIE, NY 12192",http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C34%20HOPE%20PLAZA%2C+WEST%20COXSACKIE%2C+NY+12192,NY,12192,DEA,Oct2018,"34 HOPE PLAZA, WEST COXSACKIE, NY 12192",42.4,-73.82,Greene,36039,39,36,Greene,New York,NY,Middle Atlantic
KELLY'S PHARMACY INC.,4852 RT 81,PO BOX 422,"GREENVILLE, NY 12083",http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C4852%20RT%2081%2C+GREENVILLE%2C+NY+12083,NY,12083,DEA,Oct2018,"4852 RT 81, PO BOX 422, GREENVILLE, NY 12083",42.4152945,-74.0211889,Greene,36039,39,36,Greene,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,1235 MIDDLE COUNTRY RD,,"MIDDLE ISLAND, NY 11953",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C1235%20MIDDLE%20COUNTRY%20RD%2C+MIDDLE%20ISLAND%2C+NY+11953,NY,11953,DEA,Oct2018,"1235 MIDDLE COUNTRY RD, MIDDLE ISLAND, NY 11953",40.8881898,-72.9232114,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,315-25 MAIN ROAD,P.O. BOX 993,"CUTCHOGUE, NY 11935",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C315-25%20MAIN%20ROAD%2C+CUTCHOGUE%2C+NY+11935,NY,11935,DEA,Oct2018,"315-25 MAIN ROAD, P.O. BOX 993, CUTCHOGUE, NY 11935",41.017776,-72.482055,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,3284 HEMPSTEAD TURNPIKE,,"LEVITTOWN, NY 11756",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C3284%20HEMPSTEAD%20TURNPIKE%2C+LEVITTOWN%2C+NY+11756,NY,11756,DEA,Oct2018,"3284 HEMPSTEAD TURNPIKE, LEVITTOWN, NY 11756",40.725956,-73.51421,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,440 SUNRISE HIGHWAY,,"NORTH PATCHOGUE, NY 11772",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C440%20SUNRISE%20HIGHWAY%2C+NORTH%20PATCHOGUE%2C+NY+11772,NY,11772,DEA,Oct2018,"440 SUNRISE HIGHWAY, NORTH PATCHOGUE, NY 11772",40.7754806,-73.0317122,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,50 N. NEW YORK AVE,,"HUNTINGTON, NY 11743",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C50%20N.%20NEW%20YORK%20AVE%2C+HUNTINGTON%2C+NY+11743,NY,11743,DEA,Oct2018,"50 N. NEW YORK AVE, HUNTINGTON, NY 11743",40.888165,-73.41581,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,5507-200 NESCONSET HWY RTE 347,,"MOUNT SINAI, NY 11766",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C5507-200%20NESCONSET%20HWY%20RTE%20347%2C+MOUNT%20SINAI%2C+NY+11766,NY,11766,DEA,Oct2018,"5507-200 NESCONSET HWY RTE 347, MOUNT SINAI, NY 11766",40.931892,-73.0332,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,552 MONTAUK HIGHWAY,,"CENTER MORICHES, NY 11934",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2C552%20MONTAUK%20HIGHWAY%2C+CENTER%20MORICHES%2C+NY+11934,NY,11934,DEA,Oct2018,"552 MONTAUK HIGHWAY, CENTER MORICHES, NY 11934",40.7993625,-72.7994112,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,C/O PHARMACY,271 JERICHO TURNPIKE,"SYOSSET, NY 11791",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2CC/O%20PHARMACY%2C+SYOSSET%2C+NY+11791,NY,11791,DEA,Oct2018,"C/O PHARMACY, 271 JERICHO TURNPIKE, SYOSSET, NY 11791",40.811652,-73.505287,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,KING KULLEN PHARMACY #33,460 COUNTY ROAD 111,"MANORVILLE, NY 11949",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2CKING%20KULLEN%20PHARMACY%20#33%2C+MANORVILLE%2C+NY+11949,NY,11949,DEA,Oct2018,"KING KULLEN PHARMACY #33, 460 COUNTY ROAD 111, MANORVILLE, NY 11949",40.867722,-72.794596,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KING KULLEN PHARMACIES CORP,KING KULLEN PHARMACY #46,598 STEWART AVENUE,"BETHPAGE, NY 11714",http://maps.google.com/maps?q=KING%20KULLEN%20PHARMACIES%20CORP%2CKING%20KULLEN%20PHARMACY%20#46%2C+BETHPAGE%2C+NY+11714,NY,11714,DEA,Oct2018,"KING KULLEN PHARMACY #46, 598 STEWART AVENUE, BETHPAGE, NY 11714",40.7528743,-73.04062,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
KINGSBRIDGE PHARMACY CORP.,145 W. KINGSBRIDGE RD.,,"BRONX, NY 10468",http://maps.google.com/maps?q=KINGSBRIDGE%20PHARMACY%20CORP%2C145%20W.%20KINGSBRIDGE%20RD.%2C+BRONX%2C+NY+10468,NY,10468,DEA,Oct2018,"145 W. KINGSBRIDGE RD., BRONX, NY 10468",40.8694288,-73.903291,Bronx,36005,5,36,Bronx,New York,NY,Middle Atlantic
KINGSTON HOSPITAL,ATTN: PHARMACY DEPARTMENT,396 BROADWAY,"KINGSTON, NY 12401",http://maps.google.com/maps?q=KINGSTON%20HOSPITAL%2CATTN%3A%20PHARMACY%20DEPARTMENT%2C+KINGSTON%2C+NY+12401,NY,12401,DEA,Oct2018,"ATTN: PHARMACY DEPARTMENT, 396 BROADWAY, KINGSTON, NY 12401",41.7336068,-74.382884,Ulster,36111,111,36,Ulster,New York,NY,Middle Atlantic
L & W CHEMISTS INC,25 SOUTHDOWN RD,,"HUNTINGTON, NY 11743",http://maps.google.com/maps?q=L%20%20W%20CHEMISTS%20INC%2C25%20SOUTHDOWN%20RD%2C+HUNTINGTON%2C+NY+11743,NY,11743,DEA,Oct2018,"25 SOUTHDOWN RD, HUNTINGTON, NY 11743",40.8800781429,-73.4260761429,Suffolk,36103,103,36,Suffolk,New York,NY,Middle Atlantic
LAGRANGE PHARMACY INC.,1520 ROUTE 55 UNIT #16,,"LAGRANGEVILLE, NY 12540",http://maps.google.com/maps?q=LAGRANGE%20PHARMACY%20INC%2C1520%20ROUTE%2055%20UNIT%20#16%2C+LAGRANGEVILLE%2C+NY+12540,NY,12540,DEA,Oct2018,"1520 ROUTE 55 UNIT #16, LAGRANGEVILLE, NY 12540",41.6699332,-73.7648216,Dutchess,36027,27,36,Dutchess,New York,NY,Middle Atlantic
LAHEY CLINIC HOSPITAL INC,C/O PHARMACY DEPT,41 MALL RD,"BURLINGTON, MA 01805",http://maps.google.com/maps?q=LAHEY%20CLINIC%20HOSPITAL%20INC%2CC/O%20PHARMACY%20DEPT%2C+BURLINGTON%2C+MA+01805,MA,1805,DEA,Oct2018,"C/O PHARMACY DEPT, 41 MALL RD, BURLINGTON, MA 01805",42.4868368,-71.2063864,Middlesex,25017,17,25,Middlesex,Massachusetts,MA,New England
LE-MAC PHARMACY INC,623 MC LEAN AVE,,"YONKERS, NY 10705",http://maps.google.com/maps?q=LEMAC%20PHARMACY%20INC%2C623%20MC%20LEAN%20AVE%2C+YONKERS%2C+NY+10705,NY,10705,DEA,Oct2018,"623 MC LEAN AVE, YONKERS, NY 10705",40.90938,-73.879654,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
LENOX TERRACE PHARMACY INC,DBA: LENOX TERRACE DRUG,20 WEST 135TH STREET,"NEW YORK, NY 10037",http://maps.google.com/maps?q=LENOX%20TERRACE%20PHARMACY%20INC%2CDBA%3A%20LENOX%20TERRACE%20DRUG%2C+NEW%20YORK%2C+NY+10037,NY,10037,DEA,Oct2018,"DBA: LENOX TERRACE DRUG, 20 WEST 135TH STREET, NEW YORK, NY 10037",40.8131346,-73.9410805,New York,36061,61,36,New York,New York,NY,Middle Atlantic
LI SCRIPT LLC,333 CROSSWAYS PARK DRIVE,,"WOODBURY, NY 11797",http://maps.google.com/maps?q=LI%20SCRIPT%20LLC%2C333%20CROSSWAYS%20PARK%20DRIVE%2C+WOODBURY%2C+NY+11797,NY,11797,DEA,Oct2018,"333 CROSSWAYS PARK DRIVE, WOODBURY, NY 11797",40.8066116729,-73.483156009,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
LIFE PHARMA II INC,471 LENOX AVENUE,,"NEW YORK, NY 10037",http://maps.google.com/maps?q=LIFE%20PHARMA%20II%20INC%2C471%20LENOX%20AVENUE%2C+NEW%20YORK%2C+NY+10037,NY,10037,DEA,Oct2018,"471 LENOX AVENUE, NEW YORK, NY 10037",40.7052516875,-73.5969090625,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
LONG ISLAND JEWISH MEDICAL CENTER,900 FRANKLIN AVENUE,,"VALLEY STREAM, NY 11580",http://maps.google.com/maps?q=LONG%20ISLAND%20JEWISH%20MEDICAL%20CENTER%2C900%20FRANKLIN%20AVENUE%2C+VALLEY%20STREAM%2C+NY+11580,NY,11580,DEA,Oct2018,"900 FRANKLIN AVENUE, VALLEY STREAM, NY 11580",40.679054,-73.684548,Nassau,36059,59,36,Nassau,New York,NY,Middle Atlantic
LUDLOW PHARMACY INC.,57 POND ST,,"LUDLOW, VT 05149",http://maps.google.com/maps?q=LUDLOW%20PHARMACY%20INC%2C57%20POND%20ST%2C+LUDLOW%2C+VT+05149,VT,5149,DEA,Oct2018,"57 POND ST, LUDLOW, VT 05149",43.40649,-72.71748,Windsor,50027,27,50,Windsor,Vermont,VT,New England
MARC'S VILLAGE PHARMACY INC,31 EAST MAIN STREET,,"ELMSFORD, NY 10523",http://maps.google.com/maps?q=MARCS%20VILLAGE%20PHARMACY%20INC%2C31%20EAST%20MAIN%20STREET%2C+ELMSFORD%2C+NY+10523,NY,10523,DEA,Oct2018,"31 EAST MAIN STREET, ELMSFORD, NY 10523",41.0545208423,-73.8184815503,Westchester,36119,119,36,Westchester,New York,NY,Middle Atlantic
MARG PHARMACY,76 GRAHAM AVE.,,"BROOKLYN, NY 11206",http://maps.google.com/maps?q=MARG%20PHARMACY%2C76%20GRAHAM%20AVE.%2C+BROOKLYN%2C+NY+11206,NY,11206,DEA,Oct2018,"76 GRAHAM AVE., BROOKLYN, NY 11206",40.70360895,-73.942262102,Kings,36047,47,36,Kings,New York,NY,Middle Atlantic
MARRA'S PHARMACY,217 REMSEN STREET,PO BOX 229,"COHOES, NY 12047",http://maps.google.com/maps?q=MARRAS%20PHARMACY%2C217%20REMSEN%20STREET%2C+COHOES%2C+NY+12047,NY,12047,DEA,Oct2018,"217 REMSEN STREET, PO BOX 229, COHOES, NY 12047",42.7709,-73.7005,Albany,36001,1,36,Albany,New York,NY,Middle Atlantic
MARTHA'S VINEYARD HOSPITAL,1 HOSPITAL ROAD,P.O. BOX 1477,"OAK BLUFFS, MA 02557",http://maps.google.com/maps?q=MARTHAS%20VINEYARD%20HOSPITAL%2C1%20HOSPITAL%20ROAD%2C+OAK%20BLUFFS%2C+MA+02557,MA,2557,DEA,Oct2018,"1 HOSPITAL ROAD, P.O. BOX 1477, OAK BLUFFS, MA 02557",41.460747,-70.580414,Dukes,25007,7,25,Dukes,Massachusetts,MA,New England
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",1400 ALTAMONT AVE,,"SCHENECTADY, NY 12303",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C1400%20ALTAMONT%20AVE%2C+SCHENECTADY%2C+NY+12303,NY,12303,DEA,Oct2018,"1400 ALTAMONT AVE, SCHENECTADY, NY 12303",42.785248,-73.94463,Schenectady,36093,93,36,Schenectady,New York,NY,Middle Atlantic
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",2967 ROUTE 9,,"VALATIE, NY 12184",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C2967%20ROUTE%209%2C+VALATIE%2C+NY+12184,NY,12184,DEA,Oct2018,"2967 ROUTE 9, VALATIE, NY 12184",42.41268,-73.68218,Columbia,36021,21,36,Columbia,New York,NY,Middle Atlantic
MASS EYE & EAR INFIRMARY,243 CHARLES ST,,"BOSTON, MA 02114",http://maps.google.com/maps?q=MASS%20EYE%20%20EAR%20INFIRMARY%2C243%20CHARLES%20ST%2C+BOSTON%2C+MA+02114,MA,2114,DEA,Oct2018,"243 CHARLES ST, BOSTON, MA 02114",42.36255,-71.070656,Suffolk,25025,25,25,Suffolk,Massachusetts,MA,New England
